episode,name,score
232,agent-1,0.0
232,mean,-0.004999999888241291
232,rolling-mean 100,0.001450000209733844
233,agent-0,0.0
233,agent-1,-0.009999999776482582
233,mean,-0.004999999888241291
233,rolling-mean 100,0.001450000209733844
234,agent-0,0.0
234,agent-1,-0.009999999776482582
234,mean,-0.004999999888241291
234,rolling-mean 100,0.001450000209733844
235,agent-0,-0.009999999776482582
235,agent-1,0.0
235,mean,-0.004999999888241291
235,rolling-mean 100,0.001450000209733844
236,agent-0,-0.009999999776482582
236,agent-1,0.0
236,mean,-0.004999999888241291
236,rolling-mean 100,0.0009500002022832632
237,agent-0,0.10000000149011612
237,agent-1,-0.009999999776482582
237,mean,0.04500000085681677
237,rolling-mean 100,0.001450000209733844
238,agent-0,0.0
238,agent-1,-0.009999999776482582
238,mean,-0.004999999888241291
238,rolling-mean 100,0.001450000209733844
239,agent-0,0.0
239,agent-1,-0.009999999776482582
239,mean,-0.004999999888241291
239,rolling-mean 100,0.001450000209733844
240,agent-0,0.10000000149011612
240,agent-1,0.09000000171363354
240,mean,0.09500000160187483
240,rolling-mean 100,0.002450000224635005
241,agent-0,0.0
241,agent-1,-0.009999999776482582
241,mean,-0.004999999888241291
241,rolling-mean 100,0.002450000224635005
242,agent-0,0.0
242,agent-1,-0.009999999776482582
242,mean,-0.004999999888241291
242,rolling-mean 100,0.002450000224635005
243,agent-0,-0.009999999776482582
243,agent-1,0.0
243,mean,-0.004999999888241291
243,rolling-mean 100,0.002450000224635005
244,agent-0,-0.009999999776482582
244,agent-1,0.0
244,mean,-0.004999999888241291
244,rolling-mean 100,0.002450000224635005
245,agent-0,-0.009999999776482582
245,agent-1,0.0
245,mean,-0.004999999888241291
245,rolling-mean 100,0.002450000224635005
246,agent-0,-0.009999999776482582
246,agent-1,0.0
246,mean,-0.004999999888241291
246,rolling-mean 100,0.001450000209733844
247,agent-0,0.0
247,agent-1,-0.009999999776482582
247,mean,-0.004999999888241291
247,rolling-mean 100,0.001450000209733844
248,agent-0,0.0
248,agent-1,-0.009999999776482582
248,mean,-0.004999999888241291
248,rolling-mean 100,0.001450000209733844
249,agent-0,0.0
249,agent-1,0.09000000171363354
249,mean,0.04500000085681677
249,rolling-mean 100,0.0019500002171844244
250,agent-0,0.0
250,agent-1,-0.009999999776482582
250,mean,-0.004999999888241291
250,rolling-mean 100,0.0019500002171844244
251,agent-0,0.0
